Participant name	Average gaze event duration	Number of fixations	Recording duration [ms]	Recording duration [sec]	Number of 30 sec during recording	Number of fixations per 30 sec	Number of 20 sec during recording	Number of fixations per 20 sec	Number of 10 sec during recording	Number of fixations per 10 sec	Number of 5 sec during recording	Number of fixations per 5 sec
rivo31	243.5441839	2218	965558	965.558	32.18526667	154.853463	48.2779	45.94234629	96.5558	22.97117315	193.1116	11.48558657
robert 22	300.0708661	1016	487866	487.866	16.2622	109.0873314	24.3933	41.65078116	48.7866	20.82539058	97.5732	10.41269529
robert 26	287.056686	688	271899	271.899	9.0633	134.6088069	13.59495	50.60702687	27.1899	25.30351344	54.3798	12.65175672
robin 31	319.9066624	3107	1368269	1368.269	45.60896667	98.31400112	68.41345	45.41504631	136.8269	22.70752316	273.6538	11.35376158
siim 20	265.4320843	854	454903	454.903	15.16343333	121.9380835	22.74515	37.54646595	45.4903	18.77323297	90.9806	9.386616487
Siim32	267.2507937	315	133630	133.63	4.454333333	147.7213201	6.6815	47.14510215	13.363	23.57255107	26.726	11.78627554
siimo22	267.8404145	965	451916	451.916	15.06386667	111.7906868	22.5958	42.70705175	45.1916	21.35352588	90.3832	10.67676294
siiri32	360.7342256	523	247454	247.454	8.248466667	89.47117444	12.3727	42.27048259	24.7454	21.1352413	49.4908	10.56762065
sirly10	199.16	150	58612	58.612	1.953733333	221.11513	2.9306	51.18405787	5.8612	25.59202894	11.7224	12.79601447
taivo19	301.8266423	548	255695	255.695	8.523166667	130.4679403	12.78475	42.86356792	25.5695	21.43178396	51.139	10.71589198
tarmo 31	349.4164223	341	152893	152.893	5.096433333	108.1148254	7.64465	44.6063587	15.2893	22.30317935	30.5786	11.15158967
tiina 21	260.3322314	605	397455	397.455	13.2485	131.1846624	19.87275	30.44369803	39.7455	15.22184901	79.491	7.610924507
tiina71	244.2764771	897	558015	558.015	18.6005	94.19101637	27.90075	32.1496734	55.8015	16.0748367	111.603	8.037418349
tiit 45	141.3043478	92	79127	79.127	2.637566667	292.3148862	3.95635	23.25375662	7.9127	11.62687831	15.8254	5.813439155
Toomas 23	288.2219101	712	286379	286.379	9.545966667	115.3366692	14.31895	49.72431638	28.6379	24.86215819	57.2758	12.43107909
toomas 56	231.5352113	497	223565	223.565	7.452166667	152.3046989	11.17825	44.46134234	22.3565	22.23067117	44.713	11.11533558
toomas46	332.5100865	347	234043	234.043	7.801433333	67.80805237	11.70215	29.65267066	23.4043	14.82633533	46.8086	7.413167666
toomas57	297.1414474	304	139789	139.789	4.659633333	136.7060355	6.98945	43.49412329	13.9789	21.74706164	27.9578	10.87353082
