Participant name	Average gaze event duration	Number of fixations	Recording duration [ms]	Recording duration [sec]	Number of 30 sec during recording	Number of fixations per 30 sec	Number of 20 sec during recording	Number of fixations per 20 sec	Number of 10 sec during recording	Number of fixations per 10 sec	Number of 5 sec during recording	Number of fixations per 5 sec
kalle 31	325.5130586	1723	154153	154.153	5.138433333	240.1510188	7.70765	223.5441412	15.4153	111.7720706	30.8306	55.8860353
kalle 33	236.1314168	487	295662	295.662	9.8554	98.32173225	14.7831	32.94302278	29.5662	16.47151139	59.1324	8.235755694
kalle26	260.6576819	742	413361	413.361	13.7787	83.24442799	20.66805	35.90082277	41.3361	17.95041138	82.6722	8.975205692
Kalle29	237.6768559	229	90559	90.559	3.018633333	209.6975452	4.52795	50.57476341	9.0559	25.28738171	18.1118	12.64369085
kalle48	281.5036675	409	160358	160.358	5.345266667	123.2866461	8.0179	51.01086319	16.0358	25.5054316	32.0716	12.7527158
kalle50	249.5479833	719	316616	316.616	10.55386667	133.8845794	15.8308	45.41779316	31.6616	22.70889658	63.3232	11.35444829
kalle57	256.2382445	957	416737	416.737	13.89123333	144.7675632	20.83685	45.92824731	41.6737	22.96412366	83.3474	11.48206183
kalle72	160.4406548	733	310908	310.908	10.3636	298.2554325	15.5454	47.15221223	31.0908	23.57610611	62.1816	11.78805306
Kalle89	155.2080136	1173	807247	807.247	26.90823333	227.9228043	40.36235	29.06173699	80.7247	14.5308685	161.4494	7.265434248
kalmer20	255.7276995	639	306377	306.377	10.21256667	185.3598671	15.31885	41.71331399	30.6377	20.85665699	61.2754	10.4283285
karl 11	300.5528562	1523	733780	733.78	24.45933333	122.2437243	36.689	41.51107962	73.378	20.75553981	146.756	10.3777699
karl 24	286.8965517	377	173062	173.062	5.768733333	181.8423455	8.6531	43.56820099	17.3062	21.7841005	34.6124	10.89205025
karl46	159.2142857	224	79435	79.435	2.647833333	241.3293888	3.97175	56.39831309	7.9435	28.19915654	15.887	14.09957827
kaspar 22	288.0981211	479	203820	203.82	6.794	157.6390933	10.191	47.00225689	20.382	23.50112845	40.764	11.75056422
kate22	290.4161238	1228	570265	570.265	19.00883333	100.7952443	28.51325	43.0676966	57.0265	21.5338483	114.053	10.76692415
kati22	302.1756602	871	436325	436.325	14.54416667	90.34549934	21.81625	39.9243683	43.6325	19.96218415	87.265	9.981092076
kati25	251.8296422	587	358815	358.815	11.9605	99.24334267	17.94075	32.71881053	35.8815	16.35940526	71.763	8.179702632
kati34	319.8389923	1826	883785	883.785	29.4595	140.7695311	44.18925	41.32226729	88.3785	20.66113365	176.757	10.33056682
kati35	263.8492063	630	249235	249.235	8.307833333	160.5713483	12.46175	50.55469737	24.9235	25.27734869	49.847	12.63867434
Kati42	260.6688009	1718	684606	684.606	22.8202	134.4422924	34.2303	50.18945204	68.4606	25.09472602	136.9212	12.54736301
Katri10	226.3333333	264	113055	113.055	3.7685	260.3157755	5.65275	46.7029322	11.3055	23.3514661	22.611	11.67573305
kaupo 28	262.9305949	706	344893	344.893	11.49643333	118.3845425	17.24465	40.94023364	34.4893	20.47011682	68.9786	10.23505841
