Participant name	Average gaze event duration	Number of fixations	Recording duration [ms]	Recording duration [sec]	Number of 30 sec during recording	Number of fixations per 30 sec	Number of 20 sec during recording	Number of fixations per 20 sec	Number of 10 sec during recording	Number of fixations per 10 sec	Number of 5 sec during recording	Number of fixations per 5 sec	cluster	Gender	Age	Poekülastuse eesmärk/põhjus	Number of planned purchases	Any unplanned purchase	Did notice the screens	If noticed, what do you remember about the screen ad	Did any ad affect purchases?	Type of checkout	Why you chose remote control / cash register / self-service	Calibration	Mood rating	Fatigue rating
kalle50	249.5479833	719	316616	316.616	10.55386667	133.8845794	15.8308	45.41779316	31.6616	22.70889658	63.3232	11.35444829	0	Mees	50	sooja toitu	6	ei	Ei		ei	Tava	hetkel saab kiiremini	Hea	4	1
kalle57	256.2382445	957	416737	416.737	13.89123333	144.7675632	20.83685	45.92824731	41.6737	22.96412366	83.3474	11.48206183	0	Mees	57	soola	8	jah kiha	Ei		ei	Tava	suitsu	Halb	4	1
kalle72	160.4406548	733	310908	310.908	10.3636	298.2554325	15.5454	47.15221223	31.0908	23.57610611	62.1816	11.78805306	0	Mees	72	süüa	8	ei	Ei		ei	Iseteenindus	vähem rahvast	Hea	5	1
Kalle89	155.2080136	1173	807247	807.247	26.90823333	227.9228043	40.36235	29.06173699	80.7247	14.5308685	161.4494	7.265434248	2	Mees	89	süüa	7	ei	Ei		ei	Tava	harjumus	Halb	4	2
kalmer20	255.7276995	639	306377	306.377	10.21256667	185.3598671	15.31885	41.71331399	30.6377	20.85665699	61.2754	10.4283285	0	Mees	20	toitu	7	jah	Ei		ei	Iseteenindus	vähem inimesi ja kiirem	Väga hea	3	1
karl 11	300.5528562	1523	733780	733.78	24.45933333	122.2437243	36.689	41.51107962	73.378	20.75553981	146.756	10.3777699	2	Mees	11	toidukraam 	7	ei tulnud	Ei		ei	Pult	ei ole järjekordi	Väga hea	4	3
karl 24	286.8965517	377	173062	173.062	5.768733333	181.8423455	8.6531	43.56820099	17.3062	21.7841005	34.6124	10.89205025	0	Mees	24	lihtsalt kaasas	1	ei	Ei		ei	Iseteenindus	alati järjekord väiksem	Hea	5	2
karl46	159.2142857	224	79435	79.435	2.647833333	241.3293888	3.97175	56.39831309	7.9435	28.19915654	15.887	14.09957827	0	Mees	46	suitsu	10	ei	Ei		ei	Tava	suitsu	Väga hea	4	2
kaspar 22	288.0981211	479	203820	203.82	6.794	157.6390933	10.191	47.00225689	20.382	23.50112845	40.764	11.75056422	0	Mees	22	hommikusöök	7	kodujuust	Ei		ei	Iseteenindus	et vältida järjekordi	Väga hea	5	2
kate22	290.4161238	1228	570265	570.265	19.00883333	100.7952443	28.51325	43.0676966	57.0265	21.5338483	114.053	10.76692415	2	Naine	22	bread	6	jh	Ei		jh	Iseteenindus	järjekord	Väga hea	5	5
kati22	302.1756602	871	436325	436.325	14.54416667	90.34549934	21.81625	39.9243683	43.6325	19.96218415	87.265	9.981092076	2	Naine	22	süüa	7	ei	Ei		soodustid	Iseteenindus	kiirem	Väga hea	5	1
kati25	251.8296422	587	358815	358.815	11.9605	99.24334267	17.94075	32.71881053	35.8815	16.35940526	71.763	8.179702632	0	Naine	25	süüa	4	jah	Ei		ei	Iseteenindus	kiirem	Hea	5	1
kati34	319.8389923	1826	883785	883.785	29.4595	140.7695311	44.18925	41.32226729	88.3785	20.66113365	176.757	10.33056682	2	Naine	34	süüa	4	jh	Ei		ei	Pult	kergem	Halb	4	1
kati35	263.8492063	630	249235	249.235	8.307833333	160.5713483	12.46175	50.55469737	24.9235	25.27734869	49.847	12.63867434	0	Naine	35	lõunasõõk	7	vesi	Ei		ei	Iseteenindus	mugavam	Hea	5	1
Kati42	260.6688009	1718	684606	684.606	22.8202	134.4422924	34.2303	50.18945204	68.4606	25.09472602	136.9212	12.54736301	2	Naine	42	lastele süüa	1	jh	Ei		hapukapsa	Iseteenindus	kiirem	Väga hea	5	4
Katri10	226.3333333	264	113055	113.055	3.7685	260.3157755	5.65275	46.7029322	11.3055	23.3514661	22.611	11.67573305	0	Naine	10	sõbraga kaasa	1	ei	Ei		ei	Iseteenindus	kiirem	Väga hea	5	1
kaupo 28	262.9305949	706	344893	344.893	11.49643333	118.3845425	17.24465	40.94023364	34.4893	20.47011682	68.9786	10.23505841	0	Mees	28	juust	10	ei tulnud	Ei		ei	Iseteenindus	harjumus, järjekord	Väga hea	4	2
kaupo78	207.7323838	1334	660695	660.695	22.02316667	274.6653146	33.03475	40.38171925	66.0695	20.19085963	132.139	10.09542981	2	Mees	78	maitseained	9	piparkoogid	Ei		ei	Iseteenindus	hetkel kiirem	Halb	4	1
Kelly 36	293.6455078	1024	439750	439.75	14.65833333	130.0284252	21.9875	46.57191586	43.975	23.28595793	87.95	11.64297897	2	Naine	36	süüa osta	10	jah	Ei		ei	Pult	saab asjad kohe kotti panna, lapsega lihtsam	Väga hea	5	3
KERLI 21	208.9757869	597	593313	593.313	19.7771	176.5678487	29.66565	20.12428516	59.3313	10.06214258	118.6626	5.03107129	2	Naine	21	õhtusöök	2	jaa	Ei		pigem ei	Iseteenindus	ei taha klienditeenindajaga rääkida	Väga hea	5	5
kerli 32	227.2391653	623	257073	257.073	8.5691	199.4375139	12.85365	48.46872289	25.7073	24.23436145	51.4146	12.11718072	0	Naine	32	söök	10	ei	Ei		kui oleks soodus olnud	Pult	kõige kiirem	Halb	5	2
kerly13	269.75	188	119274	119.274	3.9758	131.042809	5.9637	31.52405386	11.9274	15.76202693	23.8548	7.881013465	0	Naine	13	jooki	9	ei	Ei		ei	Iseteenindus	kiirem	Väga hea	5	1
kert35	154.0762463	341	366012	366.012	12.2004	77.37451231	18.3006	18.63326885	36.6012	9.316634427	73.2024	4.658317214	0	Mees	35	vett	3	ei	Ei		ei	Iseteenindus	kiirem	Halb	5	4
Kertu 18	152.2885572	201	153617	153.617	5.120566667	198.4155399	7.68085	26.16897869	15.3617	13.08448935	30.7234	6.542244673	0	Naine	18	juua ja vb süüa	2	ja, saiakesed	Ei		ei	Iseteenindus	järjekorda pole	Halb	4	1
ˇkertu13	205.0431034	232	165795	165.795	5.5265	348.8645617	8.28975	27.98636871	16.5795	13.99318435	33.159	6.996592177	0	Naine	13	popkorni	8	jh	Jah	jahu	ei	Iseteenindus	harjumus	Väga hea	5	4
Kkatre28	233.9101307	612	274361	274.361	9.145366667	170.3594899	13.71805	44.61275473	27.4361	22.30637736	54.8722	11.15318868	0	Naine	28	sokolaad	8	komm	Ei		ei	Iseteenindus	harjumus	Väga hea	5	3
Klaara8	353.3062182	2557	1200882	1200.882	40.0294	132.0529411	60.0441	42.58536642	120.0882	21.29268321	240.1764	10.64634161	1	Naine	8	süüa	7	jh	Ei		ei	Pult	väiksem järjekord	Väga hea	5	1
klaus18	224.0695742	963	468284	468.284	15.60946667	210.0007688	23.4142	41.1288876	46.8284	20.5644438	93.6568	10.2822219	2	Mees	18	õhtusõõk ja hommikusõõk	3	till	Ei		ei	Iseteenindus	pole järjekorda ja ei pea suhtlema		4	2
KRIS 28	290.735426	892	406872	406.872	13.5624	111.3372264	20.3436	43.84671346	40.6872	21.92335673	81.3744	10.96167837	0	Mees	28	õhtusöögi jaoks asju osta	10	jah, kook	Ei		ei	Tava	laps kaasas, aega surnuks lüüa, muidu eelistab iseteenindust	Väga hea	5	3
kris10	293.187404	1302	597871	597.871	19.92903333	141.4017405	29.89355	43.55454605	59.7871	21.77727302	119.5742	10.88863651	2	Mees	10	piima leiba	8	ei	Ei		ei	Tava	mugavam	Väga hea	4	1
kris23	258.2483419	1357	520981	520.981	17.36603333	130.484605	26.04905	52.0940303	52.0981	26.04701515	104.1962	13.02350758	2	Mees	23	süüa	2	kõik	Ei		ei	Tava	kaalumata asjadega lihtsam 	Väga hea	4	1
