Participant name	Average gaze event duration	Number of fixations	Recording duration [ms]	Recording duration [sec]	Number of 30 sec during recording	Number of fixations per 30 sec	Number of 20 sec during recording	Number of fixations per 20 sec	Number of 10 sec during recording	Number of fixations per 10 sec	Number of 5 sec during recording	Number of fixations per 5 sec	cluster	Gender	Age	Poekülastuse eesmärk/põhjus	Number of planned purchases	Any unplanned purchase	Did notice the screens	If noticed, what do you remember about the screen ad	Did any ad affect purchases?	Type of checkout	Why you chose remote control / cash register / self-service	Calibration	Mood rating	Fatigue rating
siimo22	267.8404145	965	451916	451.916	15.06386667	111.7906868	22.5958	42.70705175	45.1916	21.35352588	90.3832	10.67676294	2	Mees	22	süüa	9	jh	Ei		jh soodus	Tava	harjumus	Hea	5	2
siiri32	360.7342256	523	247454	247.454	8.248466667	89.47117444	12.3727	42.27048259	24.7454	21.1352413	49.4908	10.56762065	0	Naine	32	kook	4	ei	Jah	rattad pappkastid liikusid kusagile	ei	Tava	harjumus	Väga hea	4	5
sirly10	199.16	150	58612	58.612	1.953733333	221.11513	2.9306	51.18405787	5.8612	25.59202894	11.7224	12.79601447	0	Naine	10	kommi	9	ei	Jah		ei	Iseteenindus	kiirem	Väga hea	5	4
taivo19	301.8266423	548	255695	255.695	8.523166667	130.4679403	12.78475	42.86356792	25.5695	21.43178396	51.139	10.71589198	0	Mees	19	juua	10	ei	Ei		ei	Iseteenindus	lihtsam	Hea	3	3
tarmo 31	349.4164223	341	152893	152.893	5.096433333	108.1148254	7.64465	44.6063587	15.2893	22.30317935	30.5786	11.15158967	0	Mees	31	ujumismähkmed	2	ei	Ei		ei	Iseteenindus	kiire, lihtne, mugav	Väga hea	5	2
tiina 21	260.3322314	605	397455	397.455	13.2485	131.1846624	19.87275	30.44369803	39.7455	15.22184901	79.491	7.610924507	0	Naine	21	šokolaad	6	ei	Ei		ei	Tava	arvega maksmine	Hea	5	1
tiina71	244.2764771	897	558015	558.015	18.6005	94.19101637	27.90075	32.1496734	55.8015	16.0748367	111.603	8.037418349	2	Naine	71	igapäevakaup	8	jh 	Ei		ei	Tava	kiirem, ei ole käpas iseteenindus ja jääks koperdama	Halb	5	1
tiit 45	141.3043478	92	79127	79.127	2.637566667	292.3148862	3.95635	23.25375662	7.9127	11.62687831	15.8254	5.813439155	0	Mees	45	vahukoor	8	ei	Ei		ei	Tava	sularaha oli ainult	Halb	4	2
Toomas 23	288.2219101	712	286379	286.379	9.545966667	115.3366692	14.31895	49.72431638	28.6379	24.86215819	57.2758	12.43107909	0	Mees	23	midagi süüa osta	3	jah, coca	Ei		ei	Iseteenindus	kiirem	Väga hea	4	1
toomas 56	231.5352113	497	223565	223.565	7.452166667	152.3046989	11.17825	44.46134234	22.3565	22.23067117	44.713	11.11533558	0	Mees	56	puljongikuubik	10	ei tulnudki ostu	Ei		ei, läks kindlat asja ostma		ei ostnud midagi, toodet polnud	Väga hea	5	1
toomas46	332.5100865	347	234043	234.043	7.801433333	67.80805237	11.70215	29.65267066	23.4043	14.82633533	46.8086	7.413167666	0	Mees	46	kassitoit	10	ei	Ei		ei	Tava	mündid on vaja ära anda		5	2
toomas57	297.1414474	304	139789	139.789	4.659633333	136.7060355	6.98945	43.49412329	13.9789	21.74706164	27.9578	10.87353082	0	Mees	57	värska	9	ei	Ei		ei	Iseteenindus	cähem kontakti ja kiirem	Väga hea	5	1
